"Amostra,""Categoria"",""Solidos_Soluveis_Brix"",""Acucar_g_100g"",""pH"",""Acidez_g_100mL"",""Acucar_estimado"""
"A27,""Frutas"",14.12,9.42,2.86,0.65,8.70699601949536"
"A05,""Sucos e bebidas"",10.02,7.17,2.83,0.79,5.55256685170473"
"A60,""Néctares e polpas"",13.41,5.1,3.03,0.88,8.16074121239015"
"A41,""Néctares e polpas"",23.37,15.14,2.9,0.45,15.8236959712181"
"A10,""Sucos e bebidas"",7.71,5.05,2.99,0.79,3.77531529619342"
"A03,""Sucos e bebidas"",10.94,4.91,3.14,0.88,6.26038998203823"
"A40,""Frutas"",13.67,8.24,3.01,0.81,8.36077818400615"
"A59,""Néctares e polpas"",14.28,7.41,2.91,0.74,8.83009569433597"
"A31,""Frutas"",19.31,13.48,3.23,0.45,12.7000417221377"
"A01,""Sucos e bebidas"",8.34,3.59,3.1,0.84,4.26002026587832"
"A34,""Frutas"",16.99,9.99,2.93,0.64,10.9150964369488"
"A30,""Frutas"",13.39,6.27,2.85,0.72,8.14535375303508"
"A58,""Néctares e polpas"",21.37,14.35,2.84,0.64,14.2849500357105"
"A13,""Sucos e bebidas"",10.49,5.75,2.95,0.8,5.91417214654902"
"A52,""Néctares e polpas"",17.58,13.04,2.83,0.64,11.3690264879236"
"A47,""Néctares e polpas"",14.21,9.57,3.13,0.58,8.77623958659321"
"A18,""Sucos e bebidas"",9.72,7.1,2.99,0.92,5.32175496137858"
"A39,""Frutas"",17.33,11.62,3.12,0.71,11.1766832459851"
"A48,""Néctares e polpas"",17.07,11.78,2.97,0.59,10.9766462743691"
"A44,""Néctares e polpas"",20.74,13.08,2.76,0.44,13.8002450660256"
"A20,""Sucos e bebidas"",9.47,5.32,3,0.7,5.12941171944013"
"A38,""Frutas"",15.58,11.46,2.98,0.65,9.83028055241593"
"A09,""Sucos e bebidas"",10.49,5.03,2.92,0.64,5.91417214654902"
"A12,""Sucos e bebidas"",7.53,2.43,2.91,0.91,3.63682816199773"
"A08,""Sucos e bebidas"",13.97,8.86,3.2,0.57,8.59159007433229"
"A45,""Néctares e polpas"",20.2,14.56,2.78,0.41,13.3847836634385"
"A53,""Néctares e polpas"",23.27,16.18,2.79,0.59,15.7467586744428"
"A21,""Frutas"",8.96,5.54,3.04,0.7,4.73703150588568"
"A22,""Frutas"",16.28,12.45,2.81,0.65,10.3688416298436"
"A49,""Néctares e polpas"",10.74,5.34,2.98,0.9,6.10651538848747"
"A54,""Néctares e polpas"",12.66,7.49,2.9,0.57,7.58371148657479"
"A11,""Sucos e bebidas"",11.31,6.32,2.93,0.86,6.54505798010715"
"A28,""Frutas"",19.12,14.35,2.97,0.51,12.5538608582644"
"A37,""Frutas"",11.59,4.7,2.88,0.84,6.76048241107821"
"A25,""Frutas"",9.5,4.78,2.92,0.77,5.15249290847274"
"A16,""Sucos e bebidas"",7.13,3.69,3.09,0.84,3.3290789748962"
"A17,""Sucos e bebidas"",10.36,6.1,2.87,0.7,5.81415366074102"
"A36,""Frutas"",17.12,11.31,2.89,0.66,11.0151149227568"
"A14,""Sucos e bebidas"",9.24,6.62,2.88,0.81,4.95245593685675"
"A56,""Néctares e polpas"",14.14,8.39,2.97,0.77,8.72238347885044"
"A19,""Sucos e bebidas"",10.53,6.49,3.06,0.63,5.94494706525917"
"A32,""Frutas"",19.32,12.18,2.97,0.68,12.7077354518152"
"A23,""Frutas"",16.13,10.35,3.06,0.47,10.2534356846805"
"A29,""Frutas"",18.07,10.56,3.17,0.6,11.7460192421229"
"A50,""Néctares e polpas"",18.68,12.37,2.85,0.53,12.2153367524527"
"A51,""Néctares e polpas"",17.52,9.85,2.89,0.69,11.3228641098583"
"A06,""Sucos e bebidas"",10.57,7.46,2.84,0.64,5.97572198396932"
"A55,""Néctares e polpas"",23.38,16.51,2.76,0.5,15.8313897008957"
"A57,""Néctares e polpas"",15.98,11.29,3.08,0.6,10.1380297395175"
"A24,""Frutas"",9.35,4.96,2.94,0.76,5.03708696330967"
"A42,""Néctares e polpas"",15.52,9,2.7,0.66,9.7841181743507"
"A33,""Frutas"",14.43,8.35,2.82,0.67,8.94550163949904"
"A15,""Sucos e bebidas"",9.02,4.97,3,0.77,4.78319388395091"
"A04,""Sucos e bebidas"",8.89,4.97,3.08,0.84,4.68317539814292"
"A35,""Frutas"",14,6.9,2.97,0.67,8.6146712633649"
"A43,""Néctares e polpas"",11.52,5.58,3.05,0.58,6.70662630333545"
"A46,""Néctares e polpas"",21.71,14.11,2.67,0.71,14.5465368447468"
"A02,""Sucos e bebidas"",8.06,5.26,2.91,0.71,4.04459583490725"
"A07,""Sucos e bebidas"",10.87,5.48,2.91,0.73,6.20653387429547"
"A26,""Frutas"",17.2,9.93,2.87,0.49,11.0766647601771"
